Title,Year,Genre,Plot,Kind
Mamu: And a Mother Too,2018,Comedy,"A transgender sex worker in her late 40s along Fields Avenue whose only aspiration is to have breast implants for her profession unexpectedly assumes the role of a mother to her orphaned niece, a transgender youth who is only beginning to discover her own sexuality. As she works more shifts to save for her implants, troubles arise when she begins to feel the weight of her struggles - being an aging sex worker in fast-evolving society, a partner to her young fiancé, and a parent to a teenager she just met. Her difficult confrontations eventually lead her to a new attitude towards life, and a unique recipe to a famous Kapampangan dish, Sisig.",movie
Misteryosa,1999,Drama,,movie
Two Love You,2019,"Comedy, Romance","The twirl of the movie is to identify the father of Emma's child, whether it's Reggie, a gay guy whom Emma considers as a friend for the longest time or Winston, the straight guy whom Emma has only met recently. Who will win Emma's heart?",movie
"Oh, Mando!",2020,"Comedy, Fantasy, Romance","Charming but timid college student Mando is your typical hopeless romantic. He meets Barry, an out-and-proud basketball star who is practically a prince from a fairytale. The only thing spoiling Mando's happy ending is the fact that Barry already has a boyfriend. To move on, Mando goes out with liberated architecture student Krisha and the two become lovers. One fateful day, Barry walks back into Mando's life. Now, he needs to choose - will it be mind over heart or heart over mind?Written byiWantTFC",tv series
Muro-ami,1999,"Adventure, Drama","Fredo (Cesar Montano) is a fisherman who has endured more than his share of hardship in life; his wife and child both perished in a boating accident, and today Fredo approaches each trip to the sea with the angry determination of a man out for revenge. Fredo commands a crew of young people from poor families as he takes his rattletrap ship into the ocean in search of fish that live along the reefs, snaring catch with an illegal netting system. Not all of Fredo's youthful sailors are willing to put up with his abusive arrogance, however, and even his father Dado (Pen Medina) and close friend Botong (Jhong Hilario) have grown weary of Fredo's tirades. Fredo's body is beginning to betray him as well, and as he and his crew damage the sea's reef beds in search of fish, no one is certain how much longer he will be able to continue.Written byAnonymous",movie
Super Ma'am,2017,"Action, Fantasy",A story of a teacher with super powers who will help the parents and guide her students.,tv series
The Muthers,1976,"Action, Drama",A band of female pirates go undercover at a prison camp on a coffee plantation to rescue their leader's sister.,movie
Mara Clara,2010,"Crime, Drama, Mystery","Mara and Clara where both born on the same day and switched at birth. Mara grew up as the poor daughter of Susan and Gary David while Clara grew up in luxury as the rich daughter of Alvira and Amanthe Del Valle. Mara is a kind girl while Clara is spoiled and used to getting what she wants. When the two girls meet, Clara makes life difficult for Mara. Little do they know they are actually switched.",tv series
My Rebound Girl,2016,"Comedy, Romance",A young woman tired of being the rebound girl makes rules for herself to avoid that situation. But she is immediately challenged when she makes a connection with another heartbroken young man.,movie
Daddy Knows Best,1983,"Comedy, Drama",,movie
Our Mighty Yaya,2017,Comedy,"Virgie, a hideous-looking but sympathetic woman from the province, who works as a nanny for a well-to-do family in Manila.",movie
Ang probinsyano,2015,"Action, Crime, Thriller","The story of Cardo Dalisay as he faces through terrorists, drug dealers and other crimes in the Philippines.",tv series
Pangako sa'yo,2015,Drama,,tv series
I Do Bidoo Bidoo: Heto nApo sila!,2012,"Comedy, Musical, Romance",,movie
Fantastica,2018,"Comedy, Fantasy",The proprietor of a struggling carnival must help a prince from another land find three lost princesses.,movie
Laro sa baga,2000,Drama,Two young people falling in love while exploring the politics of sexual awakening and social relations leading to a complex web of deceit and understanding.,movie
Ma' Rosa,2016,Drama,"Ma' Rosa has four children. She owns a small convenience store in a poor neighborhood of Manila where everybody likes her. To make ends meet, Rosa and her husband, Nestor, resell small amounts of narcotics on the side. One day, they get arrested. Rosa and her children are ready to do anything to buy her freedom from the corrupt police.Written byanonymous",movie
The Love Affair,2015,"Drama, Romance","Surgeon Vince (Richard Gomez) and Trisha (Dawn Zulueta) are a married middle aged couple with three children. Vince wants his marriage annulled after he finds out his wife is having an affair with one of his friends, Greg. He consults advice from a lawyer named Adie (Bea Alonzo) who is dealing with a similar situation as well. Stumbling from their own forefront and heartaches, the three will succumb to an unusual affair in the crossroads of their lives and regain strength from their downfalls. Will Vince and Trisha ever rekindle a broken flame? And will Adie have the chance to get up again?Written byWiki",movie
Verdict,2019,Crime,Kawas Manekshaw Nanavati returns from his ship and comes to know that his wife Silvia is in relationship with his friend Prem Ahuja.Kawas in a fit of range goes to meet Prem and and fires three rounds leaving him dead and surrenders himself to Inspector John Lobo.When the story leaks out Blitz a popular newspaper plays a major part in covering it while the Navy and Parsi community are with Kawas and he has a top lawyer Karl Khandalawala representing him but he pleads himself guilty.On the other hand Prem's sister Meme isn't concerned with prosecution lawyer Chandru Trivedi who has got his big case for first time and wants a top lawyer Ram Jethmalani.In the history of India this was the only case where Jury members were appointed to give their opinion.Written byalex.mjacko@gmail.com,tv series
That Thing Called Tadhana,2014,"Comedy, Drama, Romance","The films asks the questions ""Where do broken hearts go?"" and tells the story of a woman struggling to meet airline baggage requirements who meets a man who comes to her aid. Both in despair out of love, they form a charming friendship that will take them to Sagada in their attempts to mend each other's hearts.Written byanonymous",movie
Love the Way U Lie,2020,"Comedy, Romance","With the help of a spunky, lonely-in-love psychic, a deceased wife tries to get her grieving husband to move on. In the process, sparks begin to fly.",movie
S.O.N.S. (Sons of Nanay Sabel),2019,Comedy,,movie
Feng Shui,2004,"Drama, Horror, Thriller","A wife must save her family from a curse of a ""bagwa"" bound to them.",movie
Machete II,1994,                    X    ,"A young, struggling couple tries to make ends meet by having the husband pose in the nude for a sex-starved female sculptor. When he dies in a shoot-out, his statue comes to life... but is ""he"" the property of his wife or of the sculptor?Written byPhil Fernando",movie
Pugoy - Hostage: Davao,1992,,"The story of Felipe Pugoy, a troubled inmate who, with his gang, instigated a hostage crisis in a Davao City prison that led to 21 deaths (5 hostages and 16 inmates, including Pugoy) in 1989. Among them were a visiting Australian female missionary with the evangelical Joyful Assembly of God.Written byAnonymous",movie
Kita kita,2017,"Comedy, Drama, Romance","A film about a working Filipino woman working as travel guide in Sapporo, Japan who was driven to blindness due to extreme stress and heartache. While living alone, she found comfort in the company of a fellow Filipino whom served as her eyes during her times of temporary blindness.Written byAngelo",movie
UPCAT,2008,Drama,,movie
Doble Kara,2015,"Comedy, Crime, Drama",,tv series
Mga batang poz,2019,Drama,"Four teenagers, all HIV positive and members of Love is Brave - a support group for people living with HIV - decide to meet in a cafe. This includes Luis (Fino Herrera), the school heartthrob and a Chinese businessman's son; Enzo (Paolo Gumabao) who have body and family issues; Gab (Mark Neumann), the dutiful son of a town mayor; and Chuchay (Awra Briguela), an urban poor who works to support his family.Written byiWant",tv series
Ang kwento nating dalawa,2015,"Drama, Romance",A young filmmaker and an aspiring writer struggle to make something out of their relationship.,movie
Got to Believe,2013,Romance,This show contains the love story which childhood friends turn into lovers .. They separate in long time by a scary accident which they forget each other in a mean time .. but destiny keeps them closer they meet again in wrong time but in the end love never fails to meet again and to live together happily and full of magic forever.,tv series
Darna,2005,"Action, Drama, Fantasy","Evil Queen Braguda together with her race the Anomalka attacks the planet of Marte. Surprised by the attack, Adran, Queen of the Adranika, realizes that Braguda is eager to possess the Adranika's powers. To avoid taking their power, Adran gives a white stone to Aio who is tasked to give it to whoever is worthy to inherit it. Aio escapes to Earth before Braguda can destroy the planet Marte. Braguda follows Aio, and when Aio reaches the earth's atmosphere, Braguda disables her spaceship and it crashes while the white stone fall out of the ship where the young Narda discovers it. Aio survives the crash and meets Narda to tell her to keep the stone until the right time comes to receive ""the call"". After eight years, Aio secretly disguises as an old beggar calls Narda through a telepathic message. The message tells that Narda is the sole inheritor of the power of the Adranika and she will protect the earth from evil. After Narda hears the message, the word ""Darna"" appears in the white ...Written byWikipedia",tv series
Isa lang ang dapat mahalin,1997,"Action, Drama, Romance",,movie
The Unmarried Wife,2016,"Drama, Romance","Anne Victorio (Angelica Panganiban), a brand manager, is determined to always choose what is right and become the perfect wife and mom her mother never was. Her marriage to the equally successful Geoff (Dingdong Dantes) is the envy among her peers. Unknown to most people, Anne has been betrayed by Geoff and is just putting up a façade of an untroubled family life. After finally deciding to file for annulment and live separately from her husband, Anne meets Brian (Paulo Avelino), an enigmatic and carefree man, also recently separated from his spouse. Despite Anne's initial apprehension, she decides to enter into a relationship with Brian even if she is still technically married to Geoff. But as Anne rediscovers a new life as an ""unmarried woman"", complications arise as she balances the demands of her passionate new relationship with her obligations as a mother and her still unresolved and complicated feelings for her soon-to-be ex-husband.",movie
Bar Boys,2017,Drama,"The misadventures of 3 young men who try their luck in the college of law. As their friendship, families, relationships and convictions are brought to breaking point, they must keep their heads together as they prepare for the big day.",movie
The Big Bird Cage,1972,"Action, Crime, Drama","Terry, a social-climbing young woman accidentally gets caught up in the activities of two revolutionaries, Blossom and Django, and finds herself in a concentration camp for women. In the center of the camp is a towering wooden machine (""The Big Bird Cage"") in which the women risk their lives processing sugar as the evil warden looks on. The prisoners are subjected to sadistic cruelty from the guards and fellow prisoners, and all attempts at escape are dealt with - permanently. Terry's only hope for escape lies in Blossom and her revolutionary allies.",movie
Miracle in Cell No. 7,2019,Drama,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).,movie
Black Mama White Mama,1973,"Crime, Drama, Thriller","When two troublemaking female prisoners (one a revolutionary, the other a former harem-girl) can't seem to get along, they are chained together and extradited for safekeeping. The women, still chained together, stumble, stab, and cat-fight their way across the wilderness, igniting a bloody shootout between gangsters and a group of revolutionaries.Written byJonathan Ruskin <JonRuskin@aol.com>",movie
"Hello, Stranger: The Movie",2021,"Comedy, Romance","Xavier and Mico join a writing camp, where they get to know each other more. But with their friends and other people around them twist and turn them in different directions, will they be strangers no more or strangers again?",movie
Yellow Rose,2019,"Drama, Music","Rose, an undocumented 17 year old Filipina, dreams of one day leaving her small Texas town to pursue her country music dreams. Her world is shattered when her mom suddenly gets picked up by Immigration and Customs Enforcement. Rose, facing this new realty, is forced to flee the scene, leaving behind the only life she knows, and embarks on a journey of self-discovery as she searches for a new home in the honky tonk world of Austin, Texas.Written byCecilia Mejia",movie
Eerie,2018,"Horror, Mystery, Thriller","The unexpected and gruesome death of a student threatens the existence of an old Catholic school for girls. Pat Consolacion (Bea Alonzo), the school guidance counselor, involves herself with the students in the hopes of helping them cope, and at the same time uncover the mysteries of the student's death. Most students suspect of the strict and borderline abusive Mother Alice (Charo Santos-Concio), who also threatened Pat's tenure in the school because of her continuous meddling with the case. But Pat's unusual talents lead her to knowing Eri, a former student who's been watching the whole school for years. Piece by piece, Pat uncovers the secret of the school and the monster that it nurtured for the past century.Written byStar Cinema",movie
Women in Cages,1971,"Action, Crime, Drama","Framed by her vicious drug-dealing boyfriend, Rudy, innocent Carol ""Jeff"" Jeffries finds herself behind bars in a dark Philippine prison somewhere in the lush jungles of Manila. There, always under the thumb of the sadistic lesbian warden, Alabama, Jeff comes face-to-face with the cruel reality and the extreme conditions of the hellish jail, forced to endure daily humiliation and brutal torture. In the past, many have tried to escape Alabama's horrible purgatory; however, all have failed. Can Jeff and the dirty inmates of Devil's Island pull off a brazen prison break?Written byNick Riganas",movie
Wonder Women,1973,"Action, Horror, Sci-Fi","Dr. Tsu is a brilliant surgeon with her own exotic island off the coast of Manila. Using her sexy, all-girl army of martial-arts experts, Tsu kidnaps some of the world's greatest athletes. She is able to transplant any body part, so she uses the athletes for spare parts to sell to the world's richest men. Mike Harber is a womanizing, wise-cracking insurance investigator for Lloyd's of London sent to Manila to investigate the disappearance of a jai-alai player, and becomes involved with Dr. Tsu's mad mission.Written byMarty McKee <mmckee@soltec.net>",movie
Anak ng Macho Dancer,2021,Drama,"This is the story of Inno, the son of Pol, the original Macho Dancer.",movie
The Big Doll House,1971,"Action, Drama, Thriller","Thrown into a remote Philippine prison somewhere in the untamed jungles of Manila, Collier enters the all-female jail after her horrible crime. There, sharing the same squalid cell with the equally unfortunate inmates--the tough-as-nails lesbian leader, Grear; the cynical, Alcott; the heroin-addict, Harrad, and the rebellious cellmates, Ferina and Bodine--beautiful Collier will immediately catch the eye of the brutal guard, Lucian. But, life behind bars is hard, and amid daily humiliation, cat-fights, free sex, and torture, the desperate women concoct a daring escape plan. Will the lethal sextet of prisoners escape from the cage?Written byNick Riganas",movie
"Hello, Stranger",2020,"Comedy, Romance","Follows the unlikely relationship of Mico and Xavier while they navigate schoolwork in the middle of a pandemic as strangers, enemies, partners, friends, and much much more.",tv series
The House Arrest of Us,2020,"Comedy, Romance","A long-term couple finally decides to get engaged, and per Filipino pre-wedding tradition, the groom-to-be and his family go to his fiancée's family to settle the union. A series of unfortunate events follow as a pandemic hits, with the government suddenly implementing an Enhanced Community Quarantine. Now the would-be bride and groom, joined by their warring families, must live under one roof during a mandated lockdown.Written byiWantTFC",tv series
Raw Force,1982,"Adventure, Horror, Action","A group of martial arts students are en route to an island that supposedly is home to the ghosts of martial artists who have lost their honor. A Hitler lookalike and his gang are running a female slavery operation on the island as well. Soon, the two groups meet and all sorts of crazy things happen which include cannibal monks, piranhas, zombies, and more!Written byJosh Pasnak <chainsaw@intouch.bc.ca>",movie
Maria,2019,"Action, Crime, Drama","When a former BlackRose cartel assassin deliberately betrays them by refusing to complete her mission, the cartel orders her execution. Unbeknownst to them, she fakes her own death and is able to create a new life of her own. When the cartel discovers she is alive, the hunter becomes the hunted as she fights to get revenge on those who took her new life away from her.Written byBlackops studios asia",movie
Just a Stranger,2019,"Drama, Romance","A story of a woman and a man, half of her age being in love with each other despite the fact that they are both tied with someone else.",movie
Gaya sa pelikula,2020,Romance,"Karl, an architecture student moves into his uncle's unit, takes on odd jobs online and left short on funds. His neighbor Vlad hiding from his family proposes that they become housemates for the semestral break in exchange for rent.",tv series
Cuddle Weather,2019,"Drama, Romance","It was love at first sound when Adela Johnson (Sue Ramirez), an experienced prostitute, met Ram (RK Bagatsing), a newbie call boy, as they had loud paid sex separately in adjacent motel rooms. They came, they saw, they conquered, and they came again. Their mentor-mentee set-up seems like a dreamy porn film...until one of them begins to want more than just loveless lovemaking.",movie
www.XXX.com,2003,"Drama, Romance","A Filipino-American girl escapes the consequences of her State-side abortion by going back to her home country. With relatives not so happy to see her, Joanna tries to make sense of her life. However she is soon in the clutches of a smooth cybercafe owner who introduces her to WebDiva.Com. Joanna soon becomes their big money-maker, all the while starting up a tentative affair with Spike, a misguided hacker.",movie
U-Turn,2020,"Horror, Thriller","U-turn follows the life of Donna, (Kim Chiu) a junior reporter who covers an incident on an abandoned highway where some people allegedly make an illegal u-turn. Strange things start to happen everyday as our protagonist slowly uncovers each insidious mystery.Written bymigzcuad",movie
BuyBust,2018,"Action, Crime, Thriller","After surviving the slaughter of her entire squad in a drug raid compromised by dirty cops, anti-narcotics special operative Nina Manigan (Anne Curtis), is eager to go head-to-head with the drug cartels that hold a bloody grip on Manila. But when her new mission in the city's most dangerous slum goes south, the angry civilians turn on her squad. Trapped between a brutal drug gang and hordes of bloodthirsty citizens, their only option is to fight their way out, turning one claustrophobic street at a time into a symphony of apocalyptic violence.",movie
Adan,2019,"Drama, Thriller",A farmer's daughter enlists the help of her best friend to escape the clutches of her father and lonely life in the barren rice fields of her youth - their friendship deepening into a sexually charged romance and threatened by secrets that could end the two women's love affair.,movie
Gameboys,2020,Romance,Cairo is raring for a rematch after his sudden defeat in a popular mobile game. But his opponent Gavreel wants something in return.,tv series
The Panti Sisters,2019,Comedy,Three gay sons are called back by their estranged and terminally-ill father and given an offer they can't refuse: a P300 million inheritance in exchange for each of them giving him a grandchild.,movie
Must Be... Love,2013,"Comedy, Romance","Patricia, a tomboyish teenage girl who fell in love with her childhood best friend, Ivan. But Ivan sees her only as his best friend, and he fell in love with Patricia's cousin, Angel. Rather than her. Will Ivan fall in love with Patricia or they will be remain best friends forever?Written byluigin teofilo",movie
Wheels of Fire,1985,"Action, Adventure, Sci-Fi","In a postapocalyptic future, a ruthless vehicular gang called the Highway Warriors is conquering the wasteland through murder and plunder. During a raid, they kidnap the sister of a road warrior named Trace. He brings hell down upon them.",movie
Watch List,2019,"Crime, Drama, Thriller","After her husband is mysteriously killed in the drug wars of the Philippines, a widowed mother of three must confront her own darkness to protect her children from further harm.",movie
"Paglaki ko, gusto kong maging pornstar",2021,Comedy,"A group consisted of four former porn actresses: Maui Taylor, Rosanna Roces, Alma Moreno, and Ara Mina are gathered together to teach the teen actresses to become a full-fledged porn star. Their project will receive a huge amount of cash each of the actresses to be launched in the said industry.",movie
Sex Drive,2003,"Adventure, Comedy",A 'sexperienced' fashion photographer and a broken-hearted fashion model take on a journey of fun and sex going to Sagada. Along the way they pick up an amnesia-hit guy starting a chain of conflicts.,movie
Always Be My Maybe,2016,Romance,"Jake del Mundo (Gerald Anderson) gets rejected by his long-time girlfriend when he proposed to marry him. Tin-Tin Paraiso (Arci Muñoz) ends her ""NO LABELS"" relationship with a guy when she learned that after 3 years of being non-committal to her, he finally started an official relationship with someone else. The two of them meet in a beach resort where their broken hearts draw them to each other. And one date after another, they learn about each other's views on love, commitment and relationships until they find themselves in a limbo. Will Jake muster the courage to finally DTR aka ""Define Their Relationship""? Will Tin-Tin get past the no labels phase and finally make this new relationship official? In this day and age of much available options and fleeting relationships, how do we assure love's certainty? When did we ever stop choosing a Yes or No and start falling in love with a MAYBE?",movie
Manila in the Claws of Light,1975,"Drama, Mystery","Julio Madiaga, a simple fisherman from the province, travels to Manila to find Ligaya, the woman he loves, after she went away with a mysterious woman promising a better future in the City. When he arrives, he becomes immersed in the city lifestyle and gets involved with its inhabitants experiencing extreme poverty, hard luck, and the overbearing need to grind for daily sustention. While Julio relentlessly searches for Ligaya, the city changes him little by little, becoming like an animal doomed to live only for survival in a wild jungle with no way out.Written byTerrence16",movie
F#*@bois,2019,Drama,Ace (23) and Miko (17) desperately want to become famous actors but it seems the universe has a different plan for their lives.,movie
On the Wings of Love,2015,"Comedy, Drama, Romance","A romantic comedy that centers around two very different people - Leah, a simple girl with an American dream; and Clark, a boy living his American life - who are forced to marry in order to legally stay and continue working in the United States.",tv series
Can't Help Falling in Love,2017,"Comedy, Drama, Romance","Two strangers, Gab and Dos, got tangled in fate when they accidentally got married. How? Why? When? Where? And - what?. Will Dos heed Gab's request of agreeing to an annulment (as soon as possible, take note!)? Will the process be that easy or something will get in the way?Written bysegue123",movie
My Neighbor's Wife,2011,Drama,"This Filipino story is about two couples who are best friends and the emotional ups and downs they go through when faced with marital infidelity. In a nutshell, conflict ensues when Jasmine decides to break up with her husband Bullet because of his one night stand with Giselle, a mistake that also rips apart Giselle's marriage with Aaron. This story tackles what happens when couples break up.",movie
The Hows of Us,2018,"Drama, Romance","Story of couple Primo (Daniel Padilla) and George (Kathryn Bernardo) who are in a long-term relationship and are already building and planning their future together. Their love will be put to the test as their relationship faces hurdles - from misunderstandings to different career paths, among others. How will they save their ""us""?",movie
TNT Jackson,1974,Action,"Her name is Diana Jackson, but you can call her T.N.T. When T.N.T.'s brother is killed by ruthless drug dealers, the beautiful young karate expert goes to the most dangerous part of Chinatown to find the killer. In trouble with the law since she was 13, T.N.T. wants no help from the pigs; but she does befriend a Chinaman named Joe, whose impressive martial arts skills prove useful more than once. In her quest for the killer, she'll meet the white drug lord, Sid; Elaine, his bitchy girlfriend; his suspicious Chinese assistant, Ming; and Charlie, his handsome black assistant with criminal ambitions of his own. Before her search is over, she'll find herself making love to Charlie, trading insults with Elaine, and fighting criminals while nude and in the dark. Just call her T.N.T.Written byJ. Spurlin",movie
The Mistress,2012,Drama,A young woman is torn between the affections of her two lovers.One is a young bachelor who brings passion into her life. The other is a married man who has kept her as his mistress for years.,movie
Stryker,1983,"Action, Sci-Fi","The world's water supply has dried up due to some sort of apocalypse. A beautiful woman holds the secret to where one of the last springs being guarded by a group of Amazons. A ""Road Warrior"" like crew captures her and tries to make her talk through brutal torture. The hero (Styrker) unites with some of the remaining ""good guys"" and the Amazons and frees the woman. They go on to a ""Road Warrior"" type of concluding battle with the bad guys.Written byPaul Sakamoto <garand@earthlink.net>",movie
Ang babaeng humayo,2016,Drama,"After 30 years of wrongful imprisonment, a woman plans to take revenge on her former lover.",movie
"Hello, Love, Goodbye",2019,"Drama, Romance","The film centers on the love story of Joy (Bernardo) and Ethan (Richards), Filipino workers based in Hong Kong. Ethan, a bartender, is keen on romantically pursuing Joy, a domestic helper who is wholly dedicated to providing for her family.Written byWikipedia",movie
Dahil mahal na mahal kita,1998,"Drama, Romance",,movie
Rigodon,2012,Drama,Sarah who just got out in a failed relationship. Finds a man named Riki who is a product of a reality show and currently finding his way to the top. The two develop a relationship which benefits each others needs.,movie
Beyond Atlantis,1973,"Action, Adventure, Fantasy",A band of adventurers invade a native island determined to grab a reported fortune in buried treasure. The islanders are just as determined to keep their sacred treasure. Complications ensue.,movie
Got 2 Believe,2002,Romance,"Tony (Claudine Barretto) is woman desperate to find love. She meets Lawrence (Rico Yan), a photographer, who offers her to help find the man of her dreams. Together, they will discover the real meaning of ""True Love"".",movie
"Isa pa, with feelings",2019,"Comedy, Romance","It is a Filipino romantic-comedy film directed by Prime Cruz. Maine Mendoza stars as the aspiring, young architect, Mara Navarro. Carlo Aquino co-leads as Gali Pastrano, her deaf neighbor and sign language teacher. The two develop a friendship that buds into romantic feelings for each other. But, how will they settle their differences when they are unable to communicate?",movie
Metamorphosis,2019,"Horror, Thriller",An evil spirit that changes faces infiltrates one family placing one brother in danger while the other tries to save him.,movie
Quezon's Game,2018,"Drama, History","In 1938, Philippine President Manuel L. Quezon agrees to welcome Jewish refugees from Germany in the Philippines.",movie
My Ex and Whys,2017,Drama,"Cali (Liza Soberano) dreams of becoming a social media influencer and owns a blog-on-the-rise called The Bakit List (The Why List). When an exchange with a user, @DahilListBoy goes viral she decides to meet him, and she later realises that it is her ex-boyfriend, Gio (Enrique Gil) who wants to get her back.Written bysybil11",movie
The Twilight People,1972,"Adventure, Horror, Sci-Fi","A scientist kidnaps a man and transports him to an island, intent on turning him into a super-being. The man obviously doesn't like this idea, so he tries to escape with the help of the scientist's daughter and a band of half-human, half-animal creatures.Written byDemian Katz <katz@netaxs.com>",movie
Macho Dancer,1988,Drama,"Abandoned by his American lover, a handsome teenager from the mountains journeys to Manila in an effort to support his family. With a popular call boy as his mentor, Paul enters the glittering world of male strippers, prostitution, drugs, sexual slavery, police corruption and murder. Teeming with sex and Asian beefcake, Macho Dancer is a searing indictment of the hypocrisy and police corruption rampant under both the Marcos and Aquino regimes.Written byStrand releasing <strand@strandreleasing.com>",movie
The Big Bird Cage,1972,"Action, Crime, Drama","Terry, a social-climbing young woman accidentally gets caught up in the activities of two revolutionaries, Blossom and Django, and finds herself in a concentration camp for women. In the center of the camp is a towering wooden machine (""The Big Bird Cage"") in which the women risk their lives processing sugar as the evil warden looks on. The prisoners are subjected to sadistic cruelty from the guards and fellow prisoners, and all attempts at escape are dealt with - permanently. Terry's only hope for escape lies in Blossom and her revolutionary allies.",movie
Miracle in Cell No. 7,2019,Drama,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).,movie
Black Mama White Mama,1973,"Crime, Drama, Thriller","When two troublemaking female prisoners (one a revolutionary, the other a former harem-girl) can't seem to get along, they are chained together and extradited for safekeeping. The women, still chained together, stumble, stab, and cat-fight their way across the wilderness, igniting a bloody shootout between gangsters and a group of revolutionaries.Written byJonathan Ruskin <JonRuskin@aol.com>",movie
"Hello, Stranger: The Movie",2021,"Comedy, Romance","Xavier and Mico join a writing camp, where they get to know each other more. But with their friends and other people around them twist and turn them in different directions, will they be strangers no more or strangers again?",movie
Yellow Rose,2019,"Drama, Music","Rose, an undocumented 17 year old Filipina, dreams of one day leaving her small Texas town to pursue her country music dreams. Her world is shattered when her mom suddenly gets picked up by Immigration and Customs Enforcement. Rose, facing this new realty, is forced to flee the scene, leaving behind the only life she knows, and embarks on a journey of self-discovery as she searches for a new home in the honky tonk world of Austin, Texas.Written byCecilia Mejia",movie
Eerie,2018,"Horror, Mystery, Thriller","The unexpected and gruesome death of a student threatens the existence of an old Catholic school for girls. Pat Consolacion (Bea Alonzo), the school guidance counselor, involves herself with the students in the hopes of helping them cope, and at the same time uncover the mysteries of the student's death. Most students suspect of the strict and borderline abusive Mother Alice (Charo Santos-Concio), who also threatened Pat's tenure in the school because of her continuous meddling with the case. But Pat's unusual talents lead her to knowing Eri, a former student who's been watching the whole school for years. Piece by piece, Pat uncovers the secret of the school and the monster that it nurtured for the past century.Written byStar Cinema",movie
Women in Cages,1971,"Action, Crime, Drama","Framed by her vicious drug-dealing boyfriend, Rudy, innocent Carol ""Jeff"" Jeffries finds herself behind bars in a dark Philippine prison somewhere in the lush jungles of Manila. There, always under the thumb of the sadistic lesbian warden, Alabama, Jeff comes face-to-face with the cruel reality and the extreme conditions of the hellish jail, forced to endure daily humiliation and brutal torture. In the past, many have tried to escape Alabama's horrible purgatory; however, all have failed. Can Jeff and the dirty inmates of Devil's Island pull off a brazen prison break?Written byNick Riganas",movie
Wonder Women,1973,"Action, Horror, Sci-Fi","Dr. Tsu is a brilliant surgeon with her own exotic island off the coast of Manila. Using her sexy, all-girl army of martial-arts experts, Tsu kidnaps some of the world's greatest athletes. She is able to transplant any body part, so she uses the athletes for spare parts to sell to the world's richest men. Mike Harber is a womanizing, wise-cracking insurance investigator for Lloyd's of London sent to Manila to investigate the disappearance of a jai-alai player, and becomes involved with Dr. Tsu's mad mission.Written byMarty McKee <mmckee@soltec.net>",movie
Anak ng Macho Dancer,2021,Drama,"This is the story of Inno, the son of Pol, the original Macho Dancer.",movie
The Big Doll House,1971,"Action, Drama, Thriller","Thrown into a remote Philippine prison somewhere in the untamed jungles of Manila, Collier enters the all-female jail after her horrible crime. There, sharing the same squalid cell with the equally unfortunate inmates--the tough-as-nails lesbian leader, Grear; the cynical, Alcott; the heroin-addict, Harrad, and the rebellious cellmates, Ferina and Bodine--beautiful Collier will immediately catch the eye of the brutal guard, Lucian. But, life behind bars is hard, and amid daily humiliation, cat-fights, free sex, and torture, the desperate women concoct a daring escape plan. Will the lethal sextet of prisoners escape from the cage?Written byNick Riganas",movie
"Hello, Stranger",2020,"Comedy, Romance","Follows the unlikely relationship of Mico and Xavier while they navigate schoolwork in the middle of a pandemic as strangers, enemies, partners, friends, and much much more.",tv series
The House Arrest of Us,2020,"Comedy, Romance","A long-term couple finally decides to get engaged, and per Filipino pre-wedding tradition, the groom-to-be and his family go to his fiancée's family to settle the union. A series of unfortunate events follow as a pandemic hits, with the government suddenly implementing an Enhanced Community Quarantine. Now the would-be bride and groom, joined by their warring families, must live under one roof during a mandated lockdown.Written byiWantTFC",tv series
Raw Force,1982,"Adventure, Horror, Action","A group of martial arts students are en route to an island that supposedly is home to the ghosts of martial artists who have lost their honor. A Hitler lookalike and his gang are running a female slavery operation on the island as well. Soon, the two groups meet and all sorts of crazy things happen which include cannibal monks, piranhas, zombies, and more!Written byJosh Pasnak <chainsaw@intouch.bc.ca>",movie
Maria,2019,"Action, Crime, Drama","When a former BlackRose cartel assassin deliberately betrays them by refusing to complete her mission, the cartel orders her execution. Unbeknownst to them, she fakes her own death and is able to create a new life of her own. When the cartel discovers she is alive, the hunter becomes the hunted as she fights to get revenge on those who took her new life away from her.Written byBlackops studios asia",movie
Just a Stranger,2019,"Drama, Romance","A story of a woman and a man, half of her age being in love with each other despite the fact that they are both tied with someone else.",movie
Gaya sa pelikula,2020,Romance,"Karl, an architecture student moves into his uncle's unit, takes on odd jobs online and left short on funds. His neighbor Vlad hiding from his family proposes that they become housemates for the semestral break in exchange for rent.",tv series
Cuddle Weather,2019,"Drama, Romance","It was love at first sound when Adela Johnson (Sue Ramirez), an experienced prostitute, met Ram (RK Bagatsing), a newbie call boy, as they had loud paid sex separately in adjacent motel rooms. They came, they saw, they conquered, and they came again. Their mentor-mentee set-up seems like a dreamy porn film...until one of them begins to want more than just loveless lovemaking.",movie
